"","Date","station","species","detected","url","geom"
"66",2024-01-29,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"67",2024-01-29,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"68",2024-01-29,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"69",2024-01-28,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"70",2024-01-28,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"71",2024-01-28,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"72",2024-01-28,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"73",2024-01-27,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"74",2024-01-27,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"75",2024-01-27,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"76",2024-01-27,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"77",2024-01-26,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"78",2024-01-26,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"79",2024-01-26,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"80",2024-01-26,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"81",2024-01-25,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"82",2024-01-25,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"83",2024-01-25,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"84",2024-01-25,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"85",2024-01-24,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"86",2024-01-24,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"87",2024-01-24,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"88",2024-01-24,"nybnw","Humpback whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"89",2024-01-23,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"90",2024-01-23,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"91",2024-01-23,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"92",2024-01-23,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"93",2024-01-22,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"94",2024-01-22,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"95",2024-01-22,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"96",2024-01-22,"nybnw","Humpback whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"97",2024-01-21,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
