"Date","species","detected","station","url"
2024-02-02,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-02,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-02,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-02,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-01,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-01,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-01,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-02-01,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-31,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-31,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-31,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-31,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-30,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-30,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-30,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-30,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-29,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-29,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-29,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-29,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-28,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
